"Country","Q57","Q58","Q59","Q60","Q61","Q62","Q63","Q64","Q65","Q66","Q67","Q68","Q69","Q70","Q71","Q72","Q73","Q74","Q75","Q76","Q77","Q78","Q79","Q80","Q81","Q82","Q83","Q84","Q85","Q86","Q87","Q88","Q89","GDP","Life_expectancy","Education","Urbanicity","Freedom_Score","Deaths_million","Vaccination_rate","Excess_per_million"
"Libya",1.09268707482993,3.91206030150754,3.10906040268456,3.162615255658,1.90817186183656,1.89845094664372,2.00938566552901,3.41300675675676,2.50127226463104,1.72375215146299,1.79662447257384,1.82999044890162,2.60084745762712,2.6311263972485,2.08115183246073,1.3246511627907,1.52389380530973,2.23097112860892,2.36928386540121,1.86462093862816,1.88396226415094,2.08088888888889,2.09487666034156,2.07269338303821,2.43321299638989,1.73382624768946,1.65961361545538,1.76221804511278,1.79835766423358,1.42311191992721,1.71828358208955,2.34363957597173,1.85160038797284,10.5424290201042,72.463,"7.7852817","80.393",9,944.902787455883,34,1153.99738502193
"Morocco",1.165,3.5775,2.67416666666667,2.72416666666667,2.03,2.09333333333333,2.08916666666667,2.89166666666667,2.74,2.0725,2.12416666666667,2.04,2.5025,2.30916666666667,1.9825,1.90333333333333,1.96,2.21583333333333,2.37916666666667,2.07583333333333,2.11583333333333,2.25416666666667,2.365,2.32833333333333,2.38833333333333,2.11166666666667,2.14166666666667,2.09666666666667,2.14666666666667,2.11166666666667,2.15833333333333,2.23416666666667,2.25916666666667,3.49858276367188,74.27,"5.916","62.994",39,435.020893149818,68,927.664630154181
"Maldives",1.21324245374878,3.78055822906641,2.88491295938104,3.03471552555448,1.66731328806984,1.83333333333333,2.07058823529412,3.0463768115942,3.02220077220077,2.01258470474347,2.11594202898551,2.53438113948919,2.752408477842,2.28792270531401,2.03484995159729,1.53741496598639,1.62015503875969,2.39670223084384,3.01068999028183,2.08666017526777,2.32170542635659,2.94956353055286,2.68878048780488,2.68646543330088,2.95145631067961,2.61347869177403,2.62109375,2.59950248756219,2.50236406619385,2.36617842876165,2.78396436525612,3.03781512605042,2.65291262135922,11.3498592642235,80.116,"7.421843","40.238",35,593.752804097849,74,469.299160341937
"Mexico",1.1029919447641,3.64445720850086,2.49539700805524,2.3683908045977,1.59080459770115,2.02672864613597,1.82140779522978,2.83410138248848,2.55324074074074,1.98552403011002,1.99539435808866,1.7586611861421,1.81001727115717,1.82760629004077,1.67836593785961,1.50689655172414,1.62732558139535,1.63582793164408,2.71586287042417,1.74378253325622,2.07005253940455,2.10348837209302,2.15625,2.54164205552274,2.40626848018924,2.10320956576463,2.17125,2.02922077922078,2.0174081237911,1.95451505016722,2.03615960099751,2.39795918367347,2.16779348494161,10.4345783651735,74.202,"9.07712","80.444",63,2596.77088878497,75,4911.34339010591
"Myanmar (Burma)",1.15083333333333,3.74083333333333,2.84083333333333,2.92416666666667,2.27083333333333,1.88833333333333,1.8675,3.28166666666667,2.02666666666667,2.5725,3.07833333333333,2.85416666666667,2.57916666666667,2.58083333333333,3.10166666666667,2.75416666666667,2.92166666666667,2.94083333333333,3.1225,2.985,2.75416666666667,3.17916666666667,3.06583333333333,3.26416666666667,3.50333333333333,3.0175,3.05166666666667,2.76333333333333,2.71583333333333,2.43583333333333,3.205,3.45416666666667,2.9675,1.41537967619462,66.61,"6.3768","30.852",30,359.731444326732,76,815.592927745559
"Mongolia",1.27495407225964,3.6978021978022,2.93589743589744,2.93101343101343,2.1031746031746,2.06166056166056,1.96886446886447,2.05223880597015,2.44123440577807,2.34410646387833,2.56964397251718,2.30269523151348,2.51077313054499,2.33650793650794,2.30420918367347,1.98505523066927,2.11473272490222,2.32966321243523,2.52162685603615,2.19334186939821,2.24056603773585,2.43563068920676,2.35113484646195,2.37138830162086,2.44115523465704,2.2561669829222,2.53148425787106,2.41055949566588,2.35224386113463,2.31778425655977,2.5216,2.59939301972686,2.51371115173675,4.39494715044543,71.822,"10.163875","68.543",85,628.537361779161,70,1.17940567883104
"Malaysia",1.1957349581112,3.72429550647372,2.81188118811881,3.01294744859101,1.88042650418888,2.48362528560548,2.17821782178218,3.20274390243902,2.93826219512195,2.34477498093059,2.375,2.64024390243902,2.68673780487805,2.76676829268293,2.48246951219512,2.17315026697178,2.36003051106026,2.67353165522502,2.9969512195122,2.36890243902439,2.68220015278839,2.92137404580153,2.93969465648855,2.8914373088685,2.93735676088617,2.6646294881589,2.60198624904507,2.51948051948052,2.64171122994652,2.52140672782875,2.61667941851568,2.90818668706962,2.65187452180566,11.1321027429418,75.76,"10.64506","76.607",52,1086.00271063118,87,221.961263711953
"Nigeria",1.12682926829268,3.47001620745543,2.70364372469636,2.66019417475728,1.96113360323887,2.29163281884647,2.06661251015435,3.56032388663968,2.63110749185668,2.60556464811784,2.74188311688312,2.49500831946755,1.94251012145749,2.3766339869281,2.30819140308191,2.10560519902518,2.17295081967213,2.46210268948655,2.92081632653061,2.20894308943089,2.61138613861386,2.99511400651466,2.64739884393064,2.66666666666667,2.88935108153078,2.61609620721554,2.68715596330275,2.64039408866995,2.52156862745098,2.43046357615894,2.99467613132209,3.12663755458515,2.74432379072063,2.33402364318105,52.91,"7.19197","51.157",50,14.4366363265158,46,853.081882605582
"Nicaragua",1.0425,3.44333333333333,2.23333333333333,2.54,1.55083333333333,2.08666666666667,1.66416666666667,3.0075,1.9375,1.92083333333333,2.0175,1.7325,2.045,1.9775,2.06416666666667,1.7075,1.81416666666667,1.79166666666667,2.51333333333333,1.9925,2.015,2.24583333333333,2.66083333333333,2.53333333333333,2.56166666666667,2.36273058994419,2.08583333333333,2.20083333333333,2.13083333333333,1.95083333333333,2.265,2.80916666666667,2.50333333333333,1.90563832831484,74.054,"7.144","58.76",32,35.2599565482201,97,1740.75153342567
"Netherlands",1.61205564142195,3.78694158075601,3.25308008213552,3.57411067193676,2.67016806722689,2.98640661938534,2.95604395604396,1.98940914158305,2.62001124227094,2.24392712550607,2.21377551020408,2.41578654808227,2.76818866031109,2.74635128334172,2.12925851703407,1.9523568170299,2.17389006342495,2.22734499205087,2.93034557235421,2.53649821337417,2.22860238353196,2.2292531120332,2.47068403908795,2.51777634130575,2.45266594124048,2.2328099621007,2.44524336283186,2.37332439678284,2.69166166766647,2.57401812688822,2.4135101010101,2.6292817679558,2.40963060686016,52.4762732533327,82.1121951219512,"12.45232","91.876",99,1338.73928576392,77,1650.30097554656
"New Zealand",1.59502487562189,3.78661493695441,3.05745967741936,3.48975609756098,2.48191489361702,2.83272727272727,2.8536866359447,2.26998961578401,3.10909090909091,2.15308151093439,2.23547094188377,2.18764302059497,3.21603128054741,2.88833499501496,2.55147808358818,2.09783728115345,2.41176470588235,2.55307855626327,2.94349680170576,2.82012195121951,2.36745689655172,2.42943548387097,2.65792235047219,2.85155350978136,2.7968253968254,2.36273058994419,2.52625698324022,2.34598540145985,2.55,2.25420168067227,2.32564841498559,2.78474784747847,2.43732193732194,42.7964305818389,82.0560975609756,"13.042228","86.615",98,455.104311000956,88,-522.46147674588
